run_name,final_train_accuracy,final_val_accuracy,final_train_loss,final_val_loss,lr,weight_decay,dropout,hidden_dim,layers_to_unfreeze,batch_size
run_027: lr: 0.0001 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9612713113028836,0.9332023575638506,0.101052758644014,0.2087285471659278,0.0001,0.0001,0.4,128,3,32
run_028: lr: 0.0001 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9667438434013892,0.9317288801571708,0.0883991675825024,0.2298828946583866,0.0001,0.0001,0.4,128,3,64
run_029: lr: 0.0001 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.969795832456325,0.9282907662082516,0.0801214894324531,0.3105727843501127,0.0001,0.0001,0.4,256,2,32
run_030: lr: 0.0001 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.967585771416544,0.9184675834970528,0.0809784300383819,0.3065054961178298,0.0001,0.0001,0.4,256,2,64
run_031: lr: 0.0001 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9622184803199326,0.9297642436149312,0.0985270472358299,0.2319025387109233,0.0001,0.0001,0.4,256,3,32
run_032: lr: 0.0001 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9608503472953062,0.9268172888015715,0.1010473328327924,0.2186056862645627,0.0001,0.0001,0.4,256,3,64
run_033: lr: 0.0001 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9668490844032834,0.9219056974459724,0.0855902663460093,0.2655182061296081,0.0001,0.0001,0.5,128,2,32
run_034: lr: 0.0001 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.948642391075563,0.9199410609037328,0.1338713238036549,0.24749925843859,0.0001,0.0001,0.5,128,2,64
run_035: lr: 0.0001 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9546411281835404,0.9292730844793712,0.1185504925121472,0.2270255893585958,0.0001,0.0001,0.5,128,3,32
run_036: lr: 0.0001 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9737949905283098,0.9297642436149312,0.0736402162803339,0.2507575756206025,0.0001,0.0001,0.5,128,3,64
run_037: lr: 0.0001 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.948642391075563,0.9223968565815324,0.1324274032912839,0.2272850986650627,0.0001,0.0001,0.5,256,2,32
run_038: lr: 0.0001 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9573773942327932,0.9223968565815324,0.1167983946111504,0.2339289801703923,0.0001,0.0001,0.5,256,2,64
run_039: lr: 0.0001 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9702167964639024,0.930746561886051,0.0802389039383376,0.2579094196115355,0.0001,0.0001,0.5,256,3,32
run_040: lr: 0.0001 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9625342033256156,0.930746561886051,0.0959094847736547,0.2382766597397435,0.0001,0.0001,0.5,256,3,64
run_041: lr: 0.0001 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9617975163123552,0.9223968565815324,0.1008343714944292,0.2747468311478674,0.0001,0.0001,0.6,128,2,32
run_042: lr: 0.0001 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9617975163123552,0.9209233791748526,0.1053186329311005,0.2496174897098353,0.0001,0.0001,0.6,128,2,64
run_043: lr: 0.0001 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.97695222058514,0.9346758349705304,0.0626514287160913,0.2639852198525121,0.0001,0.0001,0.6,128,3,32
run_044: lr: 0.0001 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.96579667438434,0.930746561886051,0.092419702916478,0.2339813323702465,0.0001,0.0001,0.6,128,3,64
run_045: lr: 0.0001 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9735845085245212,0.9238703339882122,0.0713594068822685,0.2697272579714451,0.0001,0.0001,0.6,256,2,32
run_046: lr: 0.0001 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.946432330035782,0.9160117878192534,0.1371157176712642,0.2495713395547773,0.0001,0.0001,0.6,256,2,64
run_047: lr: 0.0001 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9708482424752684,0.9322200392927308,0.0766355941776626,0.2357070566043404,0.0001,0.0001,0.6,256,3,32
run_048: lr: 0.0001 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.973900231530204,0.924361493123772,0.0713782700249532,0.2561739342971494,0.0001,0.0001,0.6,256,3,64
run_049: lr: 0.0001 weight_decay: 0.001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9577983582403704,0.9223968565815324,0.1141614828786456,0.2400008314133627,0.0001,0.001,0.4,128,2,32
run_050: lr: 0.0001 weight_decay: 0.001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9696905914544306,0.9238703339882122,0.0814975040918323,0.2625484369651273,0.0001,0.001,0.4,128,2,64
run_051: lr: 0.0001 weight_decay: 0.001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9719006524942118,0.93664047151277,0.0744770526124618,0.2203993017260124,0.0001,0.001,0.4,128,3,32
run_052: lr: 0.0001 weight_decay: 0.001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9643233003578192,0.9346758349705304,0.0935171007932838,0.225963482658849,0.0001,0.001,0.4,128,3,64
run_053: lr: 0.0001 weight_decay: 0.001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9668490844032834,0.9228880157170922,0.0950642640394076,0.2497718384112496,0.0001,0.001,0.4,256,2,32
run_054: lr: 0.0001 weight_decay: 0.001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9699010734582192,0.9219056974459724,0.0788566544024699,0.3189145220930309,0.0001,0.001,0.4,256,2,64
run_055: lr: 0.0001 weight_decay: 0.001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9803199326457588,0.9341846758349704,0.0529929514530551,0.2177998363269101,0.0001,0.001,0.4,256,3,32
run_056: lr: 0.0001 weight_decay: 0.001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9621132393180384,0.931237721021611,0.0992298424494841,0.1965283522554371,0.0001,0.001,0.4,256,3,64
